Кол-во комнат,"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,Относительный этаж,"Расстояние до центра, км",Ближайшая станция метро,"Расстояние до ближайшей станции метро, км","Балкон/Лоджия (1, 2)",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Цена
1,35.5,5,5,1.0,8.100056405049218,Аметьево,6.947707615437265,0,0,0,0,4300000
2,45.0,4,5,0.8,10.729544982047743,Авиастроительная,8.64110556876077,0,0,0,0,7300000
2,58.6,3,3,1.0,20.584299764532158,Дубравная,15.60494732617432,0,0,0,0,8550000
1,41.0,2,3,0.666667,17.62927212707694,Дубравная,9.364307920561348,0,0,1,0,5430000
1,29.5,1,5,0.2,5.626804186591108,Суконная слобода,4.856933998922052,0,0,1,0,5800000
студия,17.1,1,9,0.111111,5.079935828614964,Яшьлек,1.2527696640212798,0,0,0,0,3950000
3,63.0,8,9,0.888889,5.833588475724514,Козья слобода,3.883252024987491,0,0,1,0,10350000
3,89.8,5,17,0.294118,8.184014749297024,Горки,3.9836582924947566,0,0,1,0,12300000
3,90.2,10,14,0.714286,6.30655432303023,Козья слобода,4.584168283300181,0,0,1,0,13500000
2,51.2,2,8,0.25,14.491440815108403,Авиастроительная,13.142839133252348,0,0,1,0,7650000
2,68.0,6,19,0.315789,8.519249842505602,Горки,5.453057626753655,0,0,0,0,13790000
1,28.9,2,3,0.666667,8.141416855479674,Авиастроительная,1.8276953681541956,0,0,1,0,3390000
2,49.2,9,10,0.9,5.132075367009862,Суконная слобода,4.117285514187034,0,0,1,0,8650000
1,31.9,11,18,0.611111,12.832977030766497,Дубравная,6.139927457747812,0,0,1,0,5899000
2,52.2,9,10,0.9,8.796615664069698,Авиастроительная,1.6149493812028655,0,0,1,0,9200000
1,34.0,5,6,0.833333,2.945207875399654,Козья слобода,1.2489899554351576,0,0,1,0,6200000
3,62.5,8,9,0.888889,8.849735639081405,Дубравная,0.49900368234179826,0,0,1,0,11000000
3,62.0,4,10,0.4,13.273925674538566,Дубравная,6.600794907641124,0,0,1,0,12000000
3,62.6,5,9,0.555556,7.597102919660764,Проспект Победы,0.694391881510042,0,0,1,0,12990000
студия,21.0,1,5,0.2,5.208509998031419,Суконная слобода,4.203064858661805,0,0,1,0,2899000
студия,18.5,5,9,0.555556,6.120976062897152,Горки,0.4497060205216559,0,0,1,0,4250000
2,41.6,2,5,0.4,11.174871841374202,Авиастроительная,8.90378512225169,0,0,1,0,5900000
1,33.1,9,9,1.0,4.2402744754812645,Козья слобода,2.3974697087893775,0,0,1,0,8200000
1,37.0,6,9,0.666667,8.581285855657182,Дубравная,0.6177755500549313,0,0,0,0,7000000
2,54.2,4,4,1.0,5.612370394317741,Северный вокзал,0.5196391488315734,0,0,0,0,8249999
1,32.7,9,9,1.0,11.648661765177483,Авиастроительная,9.166268608445916,0,0,0,0,5950000
1,45.0,4,10,0.4,9.087325292553851,Дубравная,0.7118650028010917,0,0,0,0,11500000
студия,17.1,3,5,0.6,4.982165902665401,Площадь Тукая,4.840227755087941,0,0,1,0,3390000
1,34.0,5,6,0.833333,7.144451972693159,Горки,4.374003864356588,0,0,0,0,6840000
3,53.0,2,5,0.4,2.7769328846470858,Козья слобода,1.329394242921787,0,0,1,0,7200000
2,42.5,5,5,1.0,5.038101795909952,Северный вокзал,1.3952148434391294,0,0,1,0,6900000
студия,24.0,4,5,0.8,15.659950698935921,Дубравная,7.537766309661554,0,0,0,0,4030000
1,26.3,2,3,0.666667,16.5825592615498,Дубравная,8.274722011653173,0,0,1,0,3950000
2,45.2,5,5,1.0,6.334653664893941,Яшьлек,3.3821312856588257,0,0,1,0,6399000
3,65.0,6,9,0.666667,7.275441826699302,Проспект Победы,1.9629752635552753,0,0,1,0,9400000
2,50.1,3,5,0.6,13.410000068423727,Яшьлек,11.112391691717187,0,0,1,0,7499000
1,49.6,7,10,0.7,5.404313836895049,Яшьлек,1.7980340595318212,0,0,1,0,9300000
