Кол-во комнат,"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,Относительный этаж,"Расстояние до центра, км",Ближайшая станция метро,"Расстояние до ближайшей станции метро, км","Балкон/Лоджия (1, 2)",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Цена,Log_Цена,Log_Площадь,Кол-во комнат_num
1,34.0,12,20,0.6,4.611747687042298,Аметьево,2.504231224838572,0,0,0,0,10690000,16.184819376546592,3.5553480614894135,1.0
2,50.3,2,2,1.0,8.41758020416736,Авиастроительная,0.9514252629482484,0,0,0,0,5550000,15.52930866590278,3.937690752176724,2.0
студия,19.2,5,5,1.0,6.597977335748338,Северный вокзал,0.7727220656433795,0,0,1,0,3000000,14.914123179965662,3.005682604407159,
студия,31.4,16,20,0.8,2.9041799626762765,Козья слобода,0.9579480901948768,0,0,0,0,9263000,16.041538636192545,3.4781584227982836,
2,52.6,7,9,0.777778,2.379322092508801,Суконная слобода,0.9792868341463222,0,0,0,0,9500000,16.066802461833923,3.9815490680767565,2.0
1,34.7,25,25,1.0,2.745823440266608,Суконная слобода,0.4180118294016023,0,0,0,0,13100000,16.388122864507256,3.5751506887855933,1.0
1,47.8,10,10,1.0,12.86033109261013,Дубравная,6.211195100531648,0,0,0,0,9020000,16.014955002903545,3.8877303128591016,1.0
1,41.1,1,20,0.05,2.9041799626762765,Козья слобода,0.9579480901948768,0,0,0,0,11713500,16.276252666124552,3.7400477406883357,1.0
1,28.6,2,9,0.222222,3.743744416534256,Козья слобода,0.706554744701554,0,0,1,0,7700000,15.856731016694035,3.3877743613300146,1.0
3,131.2,5,6,0.833333,0.2286657628630713,Площадь Тукая,0.7058061000384593,0,0,1,0,38600000,17.468762860341794,4.884315927417586,3.0
2,66.2,2,8,0.25,7.437429639818135,Проспект Победы,2.950850548235422,0,0,0,0,12500000,16.341239282272525,4.207673247529104,2.0
студия,30.3,16,25,0.64,8.83467442605838,Дубравная,3.261767771656669,0,0,0,0,6350000,15.663965528349177,3.4436180975461075,
3,68.8,5,9,0.555556,8.20061433498976,Авиастроительная,0.8537530302512001,0,0,1,0,9100000,16.02378508137718,4.2456340097683265,3.0
3,110.0,8,18,0.444444,7.73945841514215,Горки,3.5301659998212185,0,0,1,0,15400000,16.54987813231892,4.709530201312334,3.0
