"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,"Расстояние до центра, км",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Есть Балкон,Есть Лоджия,Metro_Аметьево,Metro_Горки,Metro_Дубравная,Metro_Козья слобода,Metro_Кремлёвская,Metro_Площадь Тукая,Metro_Проспект Победы,Metro_Северный вокзал,Metro_Суконная слобода,Metro_Яшьлек,Цена_log
71.4,1,5,8.378052042964576,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.249124001084017
52.2,4,11,2.71725377231751,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.855259764781927
36.5,18,19,12.86033109261013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.826405690977799
42.6,3,3,5.009291194021899,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15.843658936835498
94.0,2,9,4.417896916527851,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.5691713340128
35.5,5,5,8.100056405049218,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.274125813221904
45.0,4,5,10.729544982047743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.803385043104912
58.6,3,3,20.58429976453216,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.961441957872001
41.0,2,3,17.62927212707694,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.507449876072164
29.5,1,5,5.626804186591108,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15.573368647930426
17.1,1,9,5.079935828614964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.18922639004183
63.0,8,9,5.833588475724514,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.152497174294005
89.8,5,17,8.184014749297024,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.325109901643454
90.2,10,14,6.30655432303023,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.41820031748273
51.2,2,8,14.491440815108405,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.850216336521664
68.0,6,19,8.519249842505602,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.439454322285798
28.9,2,3,8.141416855479674,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.03634077434184
49.2,9,10,5.132075367009862,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15.973069994514992
31.9,11,18,12.832977030766497,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.590293572505455
52.2,9,10,8.796615664069698,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.034714150714915
34.0,5,6,2.945207875399654,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15.64006001130563
62.5,8,9,8.849735639081405,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16.213405921671733
